Date,UPRO_BnH,UPRO_Strategy,UPRO_Position
2019-02-26,-0.003148444570268527,-0.00314844457026853,1.0
2019-02-27,-0.0016846421557094038,-0.0016846421557093277,1.0
2019-02-28,-0.00674960279725112,-0.0067496027972510815,1.0
2019-03-01,0.019961882591084557,0.01996188259108453,1.0
2019-03-04,-0.011867604581087154,-0.011867604581087253,1.0
2019-03-05,-0.00421443579995151,-0.004214435799951496,1.0
2019-03-06,-0.01840848736856837,-0.01840848736856835,1.0
2019-03-07,-0.025005326365396763,-0.02500532636539668,1.0
2019-03-08,-0.006190687373953119,-0.007184248234251052,0.0
2019-03-11,0.0436039551373788,0.0,0.0
2019-03-12,0.010232402628193915,-0.000999250499687472,1.0
2019-03-13,0.019835515010125704,0.019835515010125645,1.0
2019-03-14,-0.0020693266587615833,-0.0020693266587614996,1.0
2019-03-15,0.014513998244457538,0.01451399824445737,1.0
2019-03-18,0.011240591506602504,0.011240591506602433,1.0
2019-03-19,0.0006062726817357422,0.0006062726817357027,1.0
2019-03-20,-0.01044184127765413,-0.010441841277654214,1.0
2019-03-21,0.0329241311231212,0.03292413112312119,1.0
2019-03-22,-0.0570183845319967,-0.05701838453199658,1.0
2019-03-25,-0.002519356449842136,-0.0025193564498422593,1.0
2019-03-26,0.021048055311698954,0.021048055311699027,1.0
2019-03-27,-0.014017646834472486,-0.014017646834472463,1.0
2019-03-28,0.010662617738055546,0.01066261773805542,1.0
2019-03-29,0.019445404268338073,0.019445404268338,1.0
2019-04-01,0.03490282681009238,0.034902826810092547,1.0
2019-04-02,-0.0001960864950977248,-0.00019608649509779928,1.0
2019-04-03,0.005883513977343657,0.005883513977343687,1.0
2019-04-04,0.006433956363067095,0.006433956363066959,1.0
2019-04-05,0.0129795362389995,0.012979536238999579,1.0
2019-04-08,0.0038249040533124834,0.0038249040533124413,1.0
2019-04-09,-0.016003096942316386,-0.016003096942316455,1.0
2019-04-10,0.010261487276435055,0.010261487276435199,1.0
2019-04-11,-0.0011500657791775337,-0.0011500657791776465,1.0
2019-04-12,0.02014603449824426,0.020146034498244227,1.0
2019-04-15,-0.0026330965788717853,-0.002633096578871798,1.0
2019-04-16,0.0028287035056298038,0.002828703505629761,1.0
2019-04-17,-0.00864984694082982,-0.008649846940829722,1.0
2019-04-18,0.005310764870550155,0.005310764870550025,1.0
2019-04-22,0.0032077544041451134,0.003207754404145223,1.0
2019-04-23,0.025578331079778804,0.02557833107977873,1.0
2019-04-24,-0.005868569661916734,-0.005868569661916589,1.0
2019-04-25,-0.003135787729119488,-0.0031357877291195986,1.0
